Date,Close,High,Low,Open,Volume
2020/10/29,399.1380615,401.42146,397.7680224,398.6813818,41285612
2020/10/30,394.5712585,399.1380555,394.5712585,399.1380555,47668895
2020/11/2,397.7680054,397.7680054,390.9178101,395.4846069,33477443
2020/11/3,402.7915344,404.6182534,400.051456,401.4214952,30328495
2020/11/4,411.0117798,412.3818191,404.6182632,405.9883025,37512790
2020/11/5,411.9251709,412.3818507,406.9016932,412.3818507,34886108
2020/11/6,413.2951965,416.0352752,411.0117977,415.5785954,30154140
2020/11/9,418.7753296,420.1453688,414.6652119,418.3186498,39245881
2020/11/10,411.9251709,415.1219294,409.6417719,412.8385305,34820499
2020/11/11,417.4052429,417.4052429,409.6416881,409.6416881,36765561
2020/11/12,418.3186035,423.3420802,417.8619238,422.8854005,40100880
2020/11/13,421.9720764,421.9720764,416.9485993,419.231998,31037438
2020/11/16,442.06604,442.5227198,428.3656462,429.2790058,81994937
2020/11/17,443.4360352,462.1599048,443.4360352,458.5064668,72413868
2020/11/18,453.9396057,453.9396057,444.3493324,447.5460901,50387727
2020/11/19,447.5461731,455.7664089,447.5461731,455.7664089,44220053
2020/11/20,445.7193604,447.546079,443.8926417,443.8926417,32281453
2020/11/23,453.4829407,455.3096595,449.3728234,451.6562219,38084006
2020/11/24,449.3728333,456.6797086,448.9161535,456.2230289,35479226
2020/11/25,444.8060913,452.5696473,444.8060913,452.1129676,41419632
2020/11/26,446.632782,450.7428996,445.7194225,446.632782,28893033
2020/11/27,446.632782,449.3728604,444.3493833,445.2627428,32960189
2020/11/30,438.8692017,450.7428741,438.8692017,450.2861944,119895176
2020/12/1,447.5461731,447.5461731,441.6093361,447.0894933,37018651
2020/12/2,455.7663879,456.6797474,450.7429107,456.2230677,50621339
2020/12/3,453.9396057,456.2230041,452.112887,456.2230041,35651379
2020/12/4,459.4197693,461.2464881,454.3962927,455.3096521,51172005
2020/12/7,469.4667664,470.3801258,462.1598906,467.6400474,44271244
2020/12/8,478.6003723,479.5137318,464.89998,469.4667774,40771761
2020/12/9,474.946991,478.6004294,474.946991,475.8603506,43314115
2020/12/10,467.6400146,470.3800929,465.8132958,466.7266552,42556926
2020/12/11,471.293457,472.2068164,461.2465035,472.2068164,45660960
2020/12/14,463.9866333,468.5534309,463.9866333,467.6400714,30260485
2020/12/15,460.3332214,465.8133788,460.3332214,463.0733001,39852366
2020/12/16,467.6400146,470.3800929,463.0732176,464.8999364,52012348
2020/12/17,466.2633362,472.6882247,466.2633362,472.6882247,38215179
2020/12/18,468.0989685,469.9346507,465.3454452,466.2632863,39924864
2020/12/21,473.6059875,474.5238286,466.2632591,469.9346233,34813281
2020/12/22,467.1811218,473.6060096,467.1811218,469.9346451,22454277
2020/12/23,467.1811218,469.016804,464.4275985,466.2632807,18086715
2020/12/24,468.0989685,469.9346507,466.2632863,469.0168096,14950143
2020/12/25,469.0168152,472.6881797,468.0989741,471.7703386,12327895
2020/12/28,472.6881104,472.6881104,467.1810644,469.9345874,19087382
2020/12/29,472.6881104,474.5237923,470.8524284,472.6881104,19907528
2020/12/30,481.8665771,481.8665771,471.7703251,473.6060073,46292401
2020/12/31,486.4558411,486.4558411,480.9487938,482.7844762,29970398
2021/1/4,491.9627991,495.6341632,484.6200707,486.4557528,38770328
2021/1/5,497.4699707,497.4699707,491.0450818,491.9629231,34411866
2021/1/6,503.8948364,509.4018838,496.5521066,509.4018838,53030554
2021/1/7,518.5803833,523.1695902,507.5662867,508.4841281,51166782
2021/1/8,532.3477783,532.3477783,524.0872093,532.3477783,59563555
2021/1/11,536.0192871,536.0192871,526.8408747,529.5943984,48810990
2021/1/12,542.4439087,547.9509534,534.1833416,535.1011823,50232426
2021/1/13,555.2938843,555.2938843,544.2797907,546.115473,62662393
2021/1/14,543.3619995,547.9512056,538.7727934,538.7727934,75288477
2021/1/15,551.6225586,573.6507473,551.6225586,569.9793825,92010500
2021/1/18,557.1295776,558.0474188,545.1976427,558.0474188,45726476
2021/1/19,575.4863281,580.0755333,562.6365537,567.2257588,50672866
2021/1/20,593.8432617,596.5967853,579.1578024,580.9934848,82066422
2021/1/21,617.7070313,623.2140776,587.4182764,587.4182764,89019137
2021/1/22,595.678894,610.3643521,595.678894,595.678894,125179403
2021/1/25,580.9932861,592.9252178,574.5683999,589.2538542,93050133
2021/1/26,566.3079834,587.4183296,559.8830954,580.0756005,100153482
2021/1/27,564.472229,573.6506392,560.8008649,567.2257521,59985191
2021/1/28,551.6225586,558.047447,548.869035,550.7047174,96447533
2021/1/29,542.4439087,568.1434509,542.4439087,568.1434509,90745237
2021/2/1,560.8008423,561.7186833,538.7726586,546.1153865,67462398
2021/2/2,580.0756836,585.5827312,570.8972709,577.3221598,78429188
2021/2/3,578.2400513,589.2541475,578.2400513,585.5827821,48738970
2021/2/4,575.4863281,580.0755333,569.0614409,574.5684871,46371900
2021/2/5,580.0756836,588.336255,579.1578423,585.5827312,53267273
2021/2/17,608.5287476,613.1179538,605.7752238,608.5287476,107614290
2021/2/18,605.7750244,610.3642291,602.1036606,609.4463882,53109010
2021/2/19,598.4324951,603.0217014,593.8432889,602.1038601,50279585
2021/2/22,596.5967407,607.6108344,596.5967407,605.7751521,36474610
2021/2/23,588.3362427,590.1719252,580.9935127,588.3362427,50076333
2021/2/24,573.6506958,583.746948,573.6506958,575.486378,66206750
2021/2/25,582.8291016,583.7469427,576.4042138,583.7469427,43231417
2021/2/26,556.2116699,567.2257624,556.2116699,560.8008751,111861175
2021/3/2,558.96521,570.8971438,558.96521,569.9793028,54041533
2021/3/3,570.8971558,570.8971558,551.6224929,558.9652216,48252965
2021/3/4,551.6225586,560.8009706,551.6225586,558.9652882,67711962
2021/3/5,551.6225586,555.2939234,536.0192583,539.6906231,79918467
2021/3/8,548.8689575,559.8830503,548.8689575,558.0473682,43219772
2021/3/9,546.1154785,546.1154785,536.9370671,536.9370671,68768861
2021/3/10,547.9511108,551.6224751,544.2797466,551.6224751,40146301
2021/3/11,558.96521,561.7187332,546.115435,547.0332761,54416046
2021/3/12,563.5543823,567.2257464,558.9651773,564.4722233,33168846
2021/3/15,560.8008423,563.5543652,558.9651603,563.5543652,27416758
2021/3/16,562.6366577,562.6366577,557.1296105,559.8831341,36949425
2021/3/17,556.6461792,564.0189763,554.8029799,564.0189763,39517807
2021/3/18,554.8031006,561.2542994,554.8031006,558.4894999,29415526
2021/3/19,544.6654053,551.116603,544.6654053,547.4302043,70866028
2021/3/22,546.508667,551.1166659,540.0574686,541.9006681,34089033
2021/3/23,547.4302979,555.7246963,546.508698,550.1950973,29374037
2021/3/24,530.8414307,536.3710289,526.2334321,526.2334321,107253959
2021/3/25,529.9197388,535.449336,525.311741,527.1549401,67833354
2021/3/26,543.7437744,545.5869736,534.5277782,536.3709775,36829858
2021/3/29,552.0380859,554.8028844,549.2732875,552.0380859,37884733
